様式 1. (共通)室仕様入力シート,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
①,①,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦,⑧,,,,
,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,モデル建物,備考,,,,
,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,,,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),,,,,,
,,,,,,,,,,,,,,Room Type List,Model Building List,Calculation Target Room List
1F,風除け室,事務所等,廊下,21.12,5,2.6,,,■,,事務所モデル,,,事務室,事務所モデル,
1F,ロビー,事務所等,ロビー,114.12,5,3.5,■,,■,,事務所モデル,,,電子計算機器事務室,ビジネスホテルモデル,■
1F,EVホール,事務所等,廊下,16.32,5,3.5,■,,■,,事務所モデル,,,会議室,シティホテルモデル,
1F,中央監視室・警備室,事務所等,中央監視室,39,5,2.6,■,,■,■,事務所モデル,,,喫茶室,総合病院モデル,
1F,更衣室1,事務所等,更衣室又は倉庫,14.63,5,2.4,■,,■,,事務所モデル,,,社員食堂,クリニックモデル,
1F,更衣室2,事務所等,更衣室又は倉庫,14.63,5,2.4,■,,■,,事務所モデル,,,中央監視室,福祉施設モデル,
1F,休憩室,事務所等,更衣室又は倉庫,29.25,5,2.4,■,■,■,■,事務所モデル,,,更衣室又は倉庫,大規模物販モデル,
1F,自販機コーナー,事務所等,廊下,25.87,5,2.6,,,■,,事務所モデル,,,廊下,小規模物販モデル,
1F,便所1,事務所等,便所,33.28,5,2.4,,■,■,,事務所モデル,,,ロビー,学校モデル,
1F,便所2,事務所等,便所,33.77,5,2.4,,■,■,,事務所モデル,,,便所,幼稚園モデル,
1F,DS・PS1,事務所等,機械室,5.76,5,5,,,■,,事務所モデル,,,喫煙室,大学モデル,
1F,DS・PS2,事務所等,機械室,14.4,5,5,,,■,,事務所モデル,,,厨房,講堂モデル,
1F,ES1,事務所等,機械室,8.64,5,5,,,■,,事務所モデル,,,屋内駐車場,飲食店モデル,
1F,ES2,事務所等,機械室,9.6,5,5,,,■,,事務所モデル,,,機械室,集会所モデル（アスレチック場）,
1F,物入,事務所等,更衣室又は倉庫,7.59,5,5,,■,■,,事務所モデル,,,電気室,集会所モデル（体育館）,
1F,給湯室,事務所等,湯沸室等,5.28,5,2.4,,■,■,,事務所モデル,,,湯沸室等,集会所モデル（公衆浴場）,
1F,機械室1,事務所等,機械室,164.31,5,5,,■,■,,事務所モデル,,,食品庫等,集会所モデル（映画館）,
1F,機械室2,事務所等,機械室,45.5,5,5,,■,■,,事務所モデル,,,印刷室等,集会所モデル（図書館）,
1F,電気室,事務所等,電気室,50,5,5,,■,■,,事務所モデル,,,廃棄物保管場所等,集会所モデル（博物館）,
1F,事務室1,事務所等,事務室,352.5,5,2.6,■,,■,■,事務所モデル,,,非主要室,集会所モデル（劇場）,
1F,事務室2,事務所等,事務室,252,5,2.6,■,,■,■,事務所モデル,,,客室,集会所モデル（カラオケボックス）,
1F,ローカ,事務所等,廊下,149.25,5,2.4,,,■,,事務所モデル,,,客室内の浴室等,集会所モデル（ボーリング場）,
1F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,,,終日利用されるフロント,集会所モデル（ぱちんこ屋）,
1F,階段室,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,,,終日利用される事務室,集会所モデル（競馬場又は競輪場）,
2F,EVホール,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,,,終日利用される廊下,集会所モデル（社寺）,
2F,自販機コーナー,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,,,終日利用されるロビー,工場モデル,
2F,便所1,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,,,終日利用される共用部の便所,,
2F,便所2,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,,,終日利用される喫煙室,,
2F,DS・PS1,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,,,宴会場,,
2F,DS・PS2,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,,,会議室,,
2F,ES1,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,,,結婚式場,,
2F,ES2,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,,,レストラン,,
2F,物入,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,,,ラウンジ,,
2F,給湯室,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,,,バー,,
2F,機械室,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,,,店舗,,
2F,事務室1,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,,,社員食堂,,
2F,事務室2,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,,,更衣室又は倉庫,,
2F,ローカ,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,,,日中のみ利用されるフロント,,
2F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,,,日中のみ利用される事務室,,
2F,階段室,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,,,日中のみ利用される廊下,,
3F,EVホール,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,,,日中のみ利用されるロビー,,
3F,自販機コーナー,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,,,日中のみ利用される共用部の便所,,
