様式 5-1. (給湯)給湯対象室入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,①,①,①,②,③,④,⑤,
,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,備考,
,,,,,（給湯栓設置箇所）,,,,
,,,,[㎡],,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記),,
,,,,,,,,,
1F,中央監視室・警備室,事務所等,中央監視室,39,便所1,無,EB2-11,,
,,,,,便所2,無,EB2-12,,
,,,,,便所2,無,EB2-13,,
1F,休憩室,事務所等,更衣室又は倉庫,29.25,便所1,無,EB2-11,,
,,,,,便所2,無,EB2-12,,
,,,,,便所2,無,EB2-13,,
,,,,,休憩室,無,EB1-11,,
1F,事務室1,事務所等,事務室,352.5,便所1,無,EB2-11,,
,,,,,便所2,無,EB2-12,,
,,,,,便所2,無,EB2-13,,
,,,,,給湯室,無,EB1-12,,
1F,事務室2,事務所等,事務室,252,便所1,無,EB2-11,,
,,,,,便所2,無,EB2-12,,
,,,,,便所2,無,EB2-13,,
,,,,,給湯室,無,EB1-12,,
2F,事務室1,事務所等,事務室,597,便所1,無,EB2-21,,
,,,,,便所2,無,EB2-22,,
,,,,,便所2,無,EB2-23,,
,,,,,給湯室,無,EB1-21,,
2F,事務室2,事務所等,事務室,499.5,便所1,無,EB2-21,,
,,,,,便所2,無,EB2-22,,
,,,,,便所2,無,EB2-23,,
,,,,,給湯室,無,EB1-21,,
3F,事務室1,事務所等,事務室,597,便所1,無,EB2-31,,
,,,,,便所2,無,EB2-32,,
,,,,,便所2,無,EB2-33,,
,,,,,給湯室,無,EB1-31,,
3F,事務室2,事務所等,事務室,499.5,便所1,無,EB2-31,,
,,,,,便所2,無,EB2-32,,
,,,,,便所2,無,EB2-33,,
,,,,,給湯室,無,EB1-31,,
4F,事務室1,事務所等,事務室,597,便所1,無,EB2-41,,
,,,,,便所2,無,EB2-42,,
,,,,,便所2,無,EB2-43,,
,,,,,給湯室,無,EB1-41,,
4F,事務室2,事務所等,事務室,499.5,便所1,無,EB2-41,,
,,,,,便所2,無,EB2-42,,
,,,,,便所2,無,EB2-43,,
,,,,,給湯室,無,EB1-41,,
5F,事務室1,事務所等,事務室,597,便所1,無,EB2-51,,
,,,,,便所2,無,EB2-52,,
,,,,,便所2,無,EB2-53,,
,,,,,給湯室,無,EB1-51,,
5F,事務室2,事務所等,事務室,499.5,便所1,無,EB2-51,,
,,,,,便所2,無,EB2-52,,
,,,,,便所2,無,EB2-53,,
,,,,,給湯室,無,EB1-51,,
6F,事務室1,事務所等,事務室,597,便所1,無,EB2-61,,
,,,,,便所2,無,EB2-62,,
,,,,,便所2,無,EB2-63,,
,,,,,給湯室,無,EB1-61,,
6F,事務室2,事務所等,事務室,499.5,便所1,無,EB2-61,,
,,,,,便所2,無,EB2-62,,
,,,,,便所2,無,EB2-63,,
,,,,,給湯室,無,EB1-61,,
7F,事務室1,事務所等,事務室,597,便所1,無,EB2-71,,
,,,,,便所2,無,EB2-72,,
,,,,,便所2,無,EB2-73,,
,,,,,給湯室,無,EB1-71,,
7F,事務室2,事務所等,事務室,499.5,便所1,無,EB2-71,,
,,,,,便所2,無,EB2-72,,
,,,,,便所2,無,EB2-73,,
,,,,,給湯室,無,EB1-71,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
