様式 8. (外皮) 非空調外皮仕様入力シート,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
非空調ゾーン仕様,,,,,,外皮構成,,,,,,,,⑨,
①,①,①,①,①,①,②,③,③,壁,,窓,,,,
階,非空調ゾーン名,建物用途,室用途,室面積,階高,,,,④,⑤,⑥,⑦,⑧,,
,,,,,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無,備考,
,,,,[㎡],[m],,[-],[-],,[㎡],,[㎡],,,
,,,,,,(選択),,,(転記),,(転記),,(選択),,
,,,,,,,,,,,,,,,
1F,非空調室合計,事務所等,機械室,707.15,4,北,,,W1,65.2,,,,,
,,,,,,東,,,W1,154,,,,,
,,,,,,南,,,W1,51.6,G1,18.8,無,,
,,,,,,西,,,W1,34,,,,,
2F,非空調室合計,事務所等,廊下,376.1,4,東,,,W1,88,,,,,
,,,,,,南,,,W1,26,G1,1.62,無,,
,,,,,,西,,,W1,28,G1,1.08,無,,
3F,非空調室合計,事務所等,廊下,376.1,4,東,,,W1,88,,,,,
,,,,,,南,,,W1,26,G1,1.62,無,,
,,,,,,西,,,W1,28,G1,1.08,無,,
4F,非空調室合計,事務所等,廊下,376.1,4,東,,,W1,88,,,,,
,,,,,,南,,,W1,26,G1,1.62,無,,
,,,,,,西,,,W1,28,G1,1.08,無,,
5F,非空調室合計,事務所等,廊下,376.1,4,東,,,W1,88,,,,,
,,,,,,南,,,W1,26,G1,1.62,無,,
,,,,,,西,,,W1,28,G1,1.08,無,,
6F,非空調室合計,事務所等,廊下,376.1,4,東,,,W1,88,,,,,
,,,,,,南,,,W1,26,G1,1.62,無,,
,,,,,,西,,,W1,28,G1,1.08,無,,
7F,非空調室合計,事務所等,廊下,376.1,4,東,,,W1,88,,,,,
,,,,,,南,,,W1,26,G1,1.62,無,,
,,,,,,西,,,W1,28,G1,1.08,無,,
,,,,,,水平,,,R1,376.1,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
