都道府県名,市町村名,,"告示別表第10
で定める
地域の区分","年間の
日射
地域区分","暖房期の
日射
地域区分"
01.北海道,ｱ,愛別町,1,3,2
,,赤井川村,2,3,2
,,赤平市,2,3,2
,,旭川市,2,3,2
,,芦別市,2,3,2
,,足寄町,1,3,4
,,厚岸町,2,3,3
,,厚沢部町,3,2,2
,,厚真町,2,3,3
,,網走市,2,3,3
,,安平町,2,3,3
,ｲ,池田町,2,4,4
,,石狩市,2,3,3
,,今金町,2,2,2
,,岩内町,2,2,2
,,岩見沢市,2,3,3
,ｳ,歌志内市,2,3,2
,,浦臼町,2,2,2
,,浦河町,2,3,3
,,浦幌町,2,3,4
,,雨竜町,2,3,2
,ｴ,江差町,3,2,2
,,枝幸町（旧枝幸町）,2,2,2
,,枝幸町（旧歌登町）,1,2,2
,,恵庭市,2,3,3
,,江別市,2,3,3
,,えりも町,2,3,3
,,遠軽町,1,3,3
,,遠別町,2,2,2
,ｵ,雄武町,1,3,3
,,大空町,2,3,3
,,奥尻町,3,3,2
,,置戸町,1,3,3
,,興部町,1,3,3
,,長万部町,2,2,2
,,小樽市,2,3,2
,,音威子府村,1,2,2
,,音更町,2,3,4
,,乙部町,3,2,2
,,帯広市,2,3,4
,,小平町,2,3,2
,ｶ,上川町,1,3,2
,,上士幌町,1,3,4
,,上砂川町,2,3,2
,,上ノ国町,3,2,2
,,上富良野町,2,3,2
,,神恵内村,2,2,2
,ｷ,木古内町,2,3,3
,,北広島市,2,3,3
,,北見市,2,3,3
,,喜茂別町,1,3,2
,,京極町,2,3,2
,,共和町,2,3,2
,,清里町,2,3,3
,ｸ,釧路市,2,3,4
,,釧路町,2,3,4
,,倶知安町,2,2,2
,,栗山町,2,3,3
,,黒松内町,2,2,2
,,訓子府町,1,3,3
,ｹ,剣淵町,2,2,2
,ｺ,小清水町,2,3,3
,ｻ,札幌市,2,3,3
,,様似町,2,3,3
,,更別村,1,3,4
,,猿払村,1,2,2
,,佐呂間町,1,3,3
,ｼ,鹿追町,2,3,4
,,鹿部町,2,3,3
,,標茶町,1,3,3
,,士別市,1,3,2
,,標津町,2,3,3
,,士幌町,2,3,4
,,島牧村,2,2,2
,,清水町,2,3,3
,,占冠村,1,2,2
,,下川町,1,3,2
,,積丹町,2,2,2
,,斜里町,2,3,3
,,初山別村,2,3,2
,,白老町,2,3,3
,,白糠町,2,3,4
,,知内町,3,3,2
,,新篠津村,2,3,2
,,新得町,2,3,3
,,新十津川町,2,3,2
,,新ひだか町,2,3,3
,ｽ,寿都町,2,2,2
,,砂川市,2,3,2
,ｾ,せたな町,2,2,2
,ｿ,壮瞥町,2,2,2
,ﾀ,大樹町,1,3,4
,,鷹栖町,2,2,2
,,滝川市,2,3,2
,,滝上町,1,2,2
,,伊達市（旧伊達市）,2,3,3
,,伊達市（旧大滝村）,1,3,3
,ﾁ,秩父別町,2,3,2
,,千歳市,2,3,3
,ﾂ,月形町,2,3,2
,,津別町,1,3,3
,,鶴居村,1,3,3
,ﾃ,天塩町,2,2,2
,,弟子屈町,1,3,3
,ﾄ,当別町,2,3,3
,,当麻町,2,3,2
,,洞爺湖町,2,2,2
,,苫小牧市,2,3,3
,,苫前町,2,3,2
,,泊村,2,2,2
,,豊浦町,2,2,2
,,豊頃町,1,3,4
,,豊富町,2,2,2
,ﾅ,奈井江町,2,3,2
,,中川町,1,2,2
,,中札内村,1,3,4
,,中標津町,1,3,3
,,中頓別町,1,2,2
,,長沼町,2,3,3
,,中富良野町,2,3,2
,,七飯町,2,3,3
,,名寄市,1,2,2
,,南幌町,2,3,3
,ﾆ,新冠町,2,3,3
,,仁木町,2,3,2
,,西興部村,1,2,2
,,ニセコ町,2,2,2
,ﾇ,沼田町,2,2,2
,ﾈ,根室市,2,3,3
,ﾉ,登別市,2,3,3
,ﾊ,函館市,3,3,3
,,羽幌町,2,3,2
,,浜頓別町,1,2,2
,,浜中町,2,3,3
,ﾋ,美瑛町,1,3,2
,,東神楽町,2,3,2
,,東川町,2,3,2
,,日高町,2,3,3
,,比布町,2,3,2
,,美唄市,2,3,2
,,美深町,1,2,2
,,美幌町,2,3,3
,,平取町,2,3,3
,,広尾町,2,3,4
,ﾌ,深川市,2,3,2
,,福島町,3,2,2
,,富良野市,2,3,2
,,古平町,2,2,2
,ﾍ,別海町,1,3,3
,ﾎ,北斗市,2,3,3
,,北竜町,2,3,2
,,幌加内町,1,2,2
,,幌延町,2,2,2
,,本別町,2,3,4
,ﾏ,幕別町（旧忠類村）,1,3,4
,,幕別町（旧幕別町）,2,3,4
,,増毛町,2,3,2
,,真狩村,2,2,2
,,松前町,3,2,2
,ﾐ,三笠市,2,3,2
,,南富良野町,1,3,3
,ﾑ,むかわ町,2,3,3
,,室蘭市,3,3,3
,ﾒ,芽室町,2,3,4
,ﾓ,妹背牛町,2,3,2
,,森町,2,3,3
,,紋別市,2,3,3
,ﾔ,八雲町（旧八雲町）,2,2,2
,,八雲町（旧熊石町）,3,2,2
,ﾕ,夕張市,1,3,3
,,湧別町,2,3,3
,,由仁町,2,3,3
,ﾖ,余市町,2,3,2
,ﾗ,羅臼町,2,2,2
,,蘭越町,2,2,2
,ﾘ,陸別町,1,3,3
,,利尻町,2,2,2
,,利尻富士町,2,2,2
,ﾙ,留寿都村,1,3,2
,,留萌市,2,3,2
,ﾚ,礼文町,2,2,2
,ﾜ,稚内市,2,2,2
,,和寒町,2,2,2
02.青森県,ｱ,青森市,3,3,2
,,鰺ヶ沢町,4,3,2
,ｲ,板柳町,3,3,2
,,田舎館村,3,3,2
,,今別町,3,2,2
,ｵ,おいらせ町（旧百石町）,3,3,2
,,おいらせ町（旧下田町）,3,3,3
,,大間町,3,3,2
,,大鰐町,3,2,2
,ｶ,風間浦村,3,3,3
,ｸ,黒石市,3,3,2
,ｺ,五所川原市,3,3,2
,,五戸町,3,3,3
,ｻ,佐井村,3,3,2
,,三戸町,3,3,3
,ｼ,七戸町,3,3,3
,,新郷村,3,3,3
,ｿ,外ヶ浜町,3,3,2
,ﾀ,田子町,3,3,2
,ﾂ,つがる市,3,3,2
,,鶴田町,3,3,2
,ﾄ,東北町,3,3,3
,,十和田市（旧十和田市）,3,3,3
,,十和田市（旧十和田湖町）,3,2,3
,ﾅ,中泊町,3,3,2
,,南部町,3,3,3
,ﾆ,西目屋村,3,3,2
,ﾉ,野辺地町,3,3,3
,ﾊ,階上町,3,3,3
,,八戸市,3,3,3
,ﾋ,東通村,3,3,3
,,平川市（旧尾上町、旧平賀町）,3,3,2
,,平川市（旧碇ケ関村）,2,2,2
,,平内町,3,3,3
,,弘前市,3,3,2
,ﾌ,深浦町,4,3,2
,,藤崎町,3,3,2
,ﾐ,三沢市,3,3,3
,ﾑ,むつ市,3,3,2
,ﾖ,横浜町,3,3,3
,,蓬田村,3,3,2
,ﾛ,六戸町,3,3,3
,,六ヶ所村,3,3,3
03.岩手県,ｲ,一関市（旧一関市、旧花泉町、旧川崎村）,4,3,3
,,一関市（旧大東町、旧藤沢町、旧千厩町、旧東山町、旧室根村）,3,3,3
,,一戸町,3,3,3
,,岩泉町,3,3,3
,,岩手町,2,3,3
,ｵ,奥州市,4,3,3
,,大槌町,4,3,3
,,大船渡市,4,3,3
,ｶ,金ケ崎町,4,3,3
,,釜石市,4,3,2
,,軽米町,3,3,3
,ｷ,北上市,4,3,2
,ｸ,久慈市,3,3,3
,,葛巻町,2,3,3
,,九戸村,2,3,3
,ｼ,雫石町,3,3,3
,,紫波町,3,3,3
,ｽ,住田町,3,3,3
,ﾀ,滝沢市,3,3,3
,,田野畑村,3,3,4
,ﾄ,遠野市,3,3,3
,ﾆ,西和賀町,2,3,2
,,二戸市,3,3,3
,ﾉ,野田村,3,3,3
,ﾊ,八幡平市（旧西根町、旧松尾村）,3,3,3
,,八幡平市（旧安代町）,2,3,3
,,花巻市,3,3,3
,ﾋ,平泉町,4,3,3
,,洋野町,3,3,3
,ﾌ,普代村,3,3,3
,ﾐ,宮古市（旧宮古市、旧田老町）,4,3,3
,,宮古市（旧新里村、旧川井村）,4,3,4
,ﾓ,盛岡市,3,3,3
,ﾔ,矢巾町,3,3,3
,,山田町,4,3,4
,ﾘ,陸前高田市,4,3,3
04.宮城県,ｲ,石巻市（旧石巻市）,4,4,3
,,石巻市（旧河北町、旧雄勝町、旧河南町、旧桃生町、旧北上町）,4,4,4
,,石巻市（旧牡鹿町）,4,4,2
,,岩沼市,4,3,3
,ｵ,大河原町,4,3,3
,,大崎市（旧古川市、旧松山町、旧三本木町、旧鹿島台町、旧岩出山町、旧田尻町）,4,3,3
,,大崎市（旧鳴子町）,4,3,2
,,大郷町,4,3,3
,,大衡村,4,3,3
,,女川町,4,3,4
,ｶ,角田市,4,3,3
,,加美町,4,3,3
,,川崎町,4,3,3
,ｸ,栗原市,4,3,3
,ｹ,気仙沼市（旧気仙沼市、旧本吉町）,4,3,3
,,気仙沼市（旧唐桑町）,4,3,4
,ｻ,蔵王町,4,3,3
,ｼ,塩竈市,4,3,2
,,色麻町,4,3,3
,,七ヶ宿町,3,3,3
,,七ヶ浜町,4,3,2
,,柴田町,4,3,3
,,白石市,4,3,3
,ｾ,仙台市,5,3,3
,ﾀ,大和町,4,3,3
,,多賀城市,5,3,3
,ﾄ,富谷市,4,3,3
,,登米市（旧迫町、旧東和町、旧中田町、旧米山町、旧石越町、旧南方町）,4,3,3
,,登米市（旧登米町、旧豊里町、旧津山町）,4,3,4
,ﾅ,名取市,4,3,3
,ﾋ,東松島市（旧矢本町）,4,3,3
,,東松島市（旧鳴瀬町）,4,3,2
,ﾏ,松島町,4,3,4
,,丸森町,4,3,3
,ﾐ,美里町,4,3,3
,,南三陸町,4,3,4
,ﾑ,村田町,4,3,3
,ﾔ,山元町,5,3,3
,ﾘ,利府町,4,3,3
,ﾜ,涌谷町,4,3,3
,,亘理町,4,3,3
05.秋田県,ｱ,秋田市,4,3,2
,ｲ,井川町,4,2,2
,ｳ,羽後町,3,3,2
,ｵ,大潟村,4,3,2
,,大館市,3,3,2
,,男鹿市,4,3,2
,ｶ,潟上市,4,3,2
,,鹿角市,3,3,2
,,上小阿仁村,3,3,2
,ｷ,北秋田市（旧鷹巣町、旧森吉町、旧合川町）,3,3,2
,,北秋田市（旧阿仁町）,3,2,2
,ｺ,小坂町,2,3,2
,,五城目町,4,2,2
,ｾ,仙北市,3,2,2
,ﾀ,大仙市,3,3,2
,ﾆ,にかほ市,5,3,1
,ﾉ,能代市（旧能代市）,4,3,2
,,能代市（旧二ツ井町）,3,3,2
,ﾊ,八郎潟町,4,2,2
,,八峰町,4,2,2
,ﾋ,東成瀬村,3,3,2
,ﾌ,藤里町,3,2,2
,ﾐ,美郷町,3,2,2
,,三種町,4,3,2
,ﾕ,湯沢市,3,3,2
,,由利本荘市,4,3,2
,ﾖ,横手市,3,3,2
06.山形県,ｱ,朝日町,3,3,3
,ｲ,飯豊町,3,3,2
,ｵ,大石田町,3,3,2
,,大江町,3,3,3
,,大蔵村,4,2,2
,,小国町,3,2,2
,,尾花沢市,3,3,2
,ｶ,金山町,3,2,2
,,河北町,4,3,3
,,上山市,4,3,3
,,川西町,3,3,2
,ｻ,寒河江市,4,3,3
,,酒田市（旧酒田市）,5,3,1
,,酒田市（旧八幡町、旧松山町）,4,2,2
,,酒田市（旧平田町）,4,3,2
,,鮭川村,3,2,2
