様式 1. (共通)室仕様 Rev.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
室仕様,,,,,,,,⑥,⑥,⑥,⑥,⑦,⑧
①,①,②,②,,③,④,⑤,,,,,,
階,室名,建物用途,室用途,,室面積,階高,天井高,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,建築物の名称,備考
,,,,,,,,,,,,,
,,,大分類,小分類,[㎡],[m],[m],,,,,,
,,(選択),(選択),(選択),,,,(選択),(選択),(選択),(選択),(複数建築物の指定),
,,,,,,,,,,,,,
1F,風除け室,事務所等,事務所等,廊下,21.12,5,2.6,,,■,,事務所モデル,
1F,ロビー,事務所等,事務所等,ロビー,114.12,5,3.5,■,,■,,事務所モデル,
1F,EVホール,事務所等,事務所等,廊下,16.32,5,3.5,■,,■,,事務所モデル,
1F,中央監視室・警備室,事務所等,事務所等,中央監視室,39,5,2.6,■,,■,■,事務所モデル,
1F,更衣室1,事務所等,事務所等,更衣室又は倉庫,14.63,5,2.4,■,,■,,事務所モデル,
1F,更衣室2,事務所等,事務所等,更衣室又は倉庫,14.63,5,2.4,■,,■,,事務所モデル,
1F,休憩室,事務所等,事務所等,更衣室又は倉庫,29.25,5,2.4,■,■,■,■,事務所モデル,
1F,自販機コーナー,事務所等,事務所等,廊下,25.87,5,2.6,,,■,,事務所モデル,
1F,便所1,事務所等,事務所等,便所,33.28,5,2.4,,■,■,,事務所モデル,
1F,便所2,事務所等,事務所等,便所,33.77,5,2.4,,■,■,,事務所モデル,
1F,DS・PS1,事務所等,事務所等,機械室,5.76,5,5,,,■,,事務所モデル,
1F,DS・PS2,事務所等,事務所等,機械室,14.4,5,5,,,■,,事務所モデル,
1F,ES1,事務所等,事務所等,機械室,8.64,5,5,,,■,,事務所モデル,
1F,ES2,事務所等,事務所等,機械室,9.6,5,5,,,■,,事務所モデル,
1F,物入,事務所等,事務所等,更衣室又は倉庫,7.59,5,5,,■,■,,事務所モデル,
1F,給湯室,事務所等,事務所等,湯沸室等,5.28,5,2.4,,■,■,,事務所モデル,
1F,機械室1,事務所等,事務所等,機械室,164.31,5,5,,■,■,,事務所モデル,
1F,機械室2,事務所等,事務所等,機械室,45.5,5,5,,■,■,,事務所モデル,
1F,電気室,事務所等,事務所等,電気室,50,5,5,,■,■,,事務所モデル,
1F,事務室1,事務所等,事務所等,事務室,352.5,5,2.6,■,,■,■,事務所モデル,
1F,事務室2,事務所等,事務所等,事務室,252,5,2.6,■,,■,■,事務所モデル,
1F,ローカ,事務所等,事務所等,廊下,149.25,5,2.4,,,■,,事務所モデル,
1F,ローカ（湯沸脇）,事務所等,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,
1F,階段室,事務所等,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,
2F,EVホール,事務所等,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,
2F,自販機コーナー,事務所等,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,
2F,便所1,事務所等,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,
2F,便所2,事務所等,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,
2F,DS・PS1,事務所等,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,
2F,DS・PS2,事務所等,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,
2F,ES1,事務所等,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,
2F,ES2,事務所等,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,
2F,物入,事務所等,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,
2F,給湯室,事務所等,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,
2F,機械室,事務所等,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,
2F,事務室1,事務所等,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,
2F,事務室2,事務所等,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,
2F,ローカ,事務所等,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,
2F,ローカ（湯沸脇）,事務所等,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,
2F,階段室,事務所等,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,
3F,EVホール,事務所等,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,
3F,自販機コーナー,事務所等,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,
3F,便所1,事務所等,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,
3F,便所2,事務所等,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,
3F,DS・PS1,事務所等,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,
3F,DS・PS2,事務所等,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,
3F,ES1,事務所等,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,
3F,ES2,事務所等,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,
3F,物入,事務所等,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,
3F,給湯室,事務所等,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,
3F,機械室,事務所等,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,
3F,事務室1,事務所等,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,
3F,事務室2,事務所等,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,
3F,ローカ,事務所等,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,
3F,ローカ（湯沸脇）,事務所等,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,
3F,階段室,事務所等,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,
4F,EVホール,事務所等,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,
4F,自販機コーナー,事務所等,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,
4F,便所1,事務所等,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,
4F,便所2,事務所等,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,
4F,DS・PS1,事務所等,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,
4F,DS・PS2,事務所等,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,
4F,ES1,事務所等,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,
4F,ES2,事務所等,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,
4F,物入,事務所等,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,
4F,給湯室,事務所等,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,
4F,機械室,事務所等,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,
4F,事務室1,事務所等,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,
4F,事務室2,事務所等,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,
4F,ローカ,事務所等,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,
4F,ローカ（湯沸脇）,事務所等,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,
4F,階段室,事務所等,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,
5F,EVホール,事務所等,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,
5F,自販機コーナー,事務所等,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,
5F,便所1,事務所等,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,
5F,便所2,事務所等,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,
5F,DS・PS1,事務所等,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,
5F,DS・PS2,事務所等,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,
5F,ES1,事務所等,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,
5F,ES2,事務所等,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,
5F,物入,事務所等,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,
5F,給湯室,事務所等,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,
5F,機械室,事務所等,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,
5F,事務室1,事務所等,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,
5F,事務室2,事務所等,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,
5F,ローカ,事務所等,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,
5F,ローカ（湯沸脇）,事務所等,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,
5F,階段室,事務所等,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,
6F,EVホール,事務所等,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,
6F,自販機コーナー,事務所等,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,
