様式 2-1. (空調)空調ゾーン,,,,,,,,,,,,,,事務室
,,,,,,,,,,,,,,電子計算機器事務室
,,,,,,,,,,,,,,会議室
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤,,,喫茶室
①,①,①,,①,①,①,②,②,③,④,,,,社員食堂
階,室名,室用途,,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考,,,中央監視室
,,,,,,,,,,,,,,更衣室又は倉庫
,,大分類,小分類,[㎡],[m],[m],,,,,,,,廊下
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),,,,ロビー
,,,,,,,,,,,,,,便所
1F,ロビー,事務所等,ロビー,114.12,5,3.5,1F,ロビー,FCU1-1,FCU1-1,,,,喫煙室
1F,EVホール,事務所等,廊下,16.32,5,3.5,1F,EVホール,FCU1-2,FCU1-2,,,,厨房
1F,中央監視室・警備室,事務所等,中央監視室,39,5,2.6,1F,中央監視室・警備室,EHP1-1,EHP1-1,,,,屋内駐車場
1F,更衣室1,事務所等,更衣室又は倉庫,14.63,5,2.4,1F,更衣室1,EHP1-2,EHP1-2,,,,機械室
1F,更衣室2,事務所等,更衣室又は倉庫,14.63,5,2.4,1F,更衣室2,EHP1-3,EHP1-3,,,,電気室
1F,休憩室,事務所等,更衣室又は倉庫,29.25,5,2.4,1F,休憩室,EHP1-4,EHP1-4,,,,湯沸室等
1F,事務室1,事務所等,事務室,352.5,5,2.6,1F,事務室1,HU-11,HU-11,,,,食品庫等
1F,事務室2,事務所等,事務室,252,5,2.6,1F,事務室2,HU-12,HU-12,,,,印刷室等
2F,EVホール,事務所等,廊下,16.32,5,2.6,2F,EVホール,FCU2,FCU2,,,,廃棄物保管場所等
2F,事務室1,事務所等,事務室,597,4,2.6,2F,事務室1,HU-21,HU-21,,,,非主要室
2F,事務室2,事務所等,事務室,499.5,4,2.6,2F,事務室2,HU-22,HU-22,,,,客室
3F,EVホール,事務所等,廊下,16.32,5,2.6,3F,EVホール,FCU3,FCU3,,,,客室内の浴室等
3F,事務室1,事務所等,事務室,597,4,2.6,3F,事務室1,HU-31,HU-31,,,,終日利用されるフロント
3F,事務室2,事務所等,事務室,499.5,4,2.6,3F,事務室2,HU-32,HU-32,,,,終日利用される事務室
4F,EVホール,事務所等,廊下,16.32,5,2.6,4F,EVホール,FCU4,FCU4,,,,終日利用される廊下
4F,事務室1,事務所等,事務室,597,4,2.6,4F,事務室1,HU-41,HU-41,,,,終日利用されるロビー
4F,事務室2,事務所等,事務室,499.5,4,2.6,4F,事務室2,HU-42,HU-42,,,,終日利用される共用部の便所
5F,EVホール,事務所等,廊下,16.32,5,2.6,5F,EVホール,FCU5,FCU5,,,,終日利用される喫煙室
5F,事務室1,事務所等,事務室,597,4,2.6,5F,事務室1,HU-51,HU-51,,,,宴会場
5F,事務室2,事務所等,事務室,499.5,4,2.6,5F,事務室2,HU-52,HU-52,,,,会議室
6F,EVホール,事務所等,廊下,16.32,5,2.6,6F,EVホール,FCU6,FCU6,,,,結婚式場
6F,事務室1,事務所等,事務室,597,4,2.6,6F,事務室1,HU-61,HU-61,,,,レストラン
6F,事務室2,事務所等,事務室,499.5,4,2.6,6F,事務室2,HU-62,HU-62,,,,ラウンジ
7F,EVホール,事務所等,廊下,16.32,5,2.6,7F,EVホール,FCU7,FCU7,,,,バー
7F,事務室1,事務所等,事務室,597,4,2.6,7F,事務室1,HU-71,HU-71,,,,店舗
7F,事務室2,事務所等,事務室,499.5,4,2.6,7F,事務室2,HU-72,HU-72,,,,社員食堂
,,,,,,,,,,,,,,更衣室又は倉庫
,,,,,,,,,,,,,,日中のみ利用されるフロント
,,,,,,,,,,,,,,日中のみ利用される事務室
,,,,,,,,,,,,,,日中のみ利用される廊下
,,,,,,,,,,,,,,日中のみ利用されるロビー
,,,,,,,,,,,,,,日中のみ利用される共用部の便所
,,,,,,,,,,,,,,日中のみ利用される喫煙室
,,,,,,,,,,,,,,厨房
,,,,,,,,,,,,,,屋内駐車場
,,,,,,,,,,,,,,機械室
,,,,,,,,,,,,,,電気室
,,,,,,,,,,,,,,湯沸室等
,,,,,,,,,,,,,,食品庫等
,,,,,,,,,,,,,,印刷室等
,,,,,,,,,,,,,,廃棄物保管場所等
,,,,,,,,,,,,,,非主要室
,,,,,,,,,,,,,,病室
,,,,,,,,,,,,,,浴室等
,,,,,,,,,,,,,,看護職員室
,,,,,,,,,,,,,,終日利用される廊下
,,,,,,,,,,,,,,終日利用されるロビー
,,,,,,,,,,,,,,終日利用される共用部の便所
,,,,,,,,,,,,,,終日利用される喫煙室
,,,,,,,,,,,,,,診察室
,,,,,,,,,,,,,,待合室
,,,,,,,,,,,,,,手術室
,,,,,,,,,,,,,,検査室
,,,,,,,,,,,,,,集中治療室
,,,,,,,,,,,,,,解剖室等
,,,,,,,,,,,,,,レストラン
,,,,,,,,,,,,,,事務室
,,,,,,,,,,,,,,更衣室又は倉庫
,,,,,,,,,,,,,,日中のみ利用される廊下
,,,,,,,,,,,,,,日中のみ利用されるロビー
,,,,,,,,,,,,,,日中のみ利用される共用部の便所
,,,,,,,,,,,,,,日中のみ利用される喫煙室
,,,,,,,,,,,,,,厨房
,,,,,,,,,,,,,,屋内駐車場
,,,,,,,,,,,,,,機械室
,,,,,,,,,,,,,,電気室
,,,,,,,,,,,,,,湯沸室等
,,,,,,,,,,,,,,食品庫等
,,,,,,,,,,,,,,印刷室等
,,,,,,,,,,,,,,廃棄物保管場所等
,,,,,,,,,,,,,,非主要室
,,,,,,,,,,,,,,大型店の売場
,,,,,,,,,,,,,,専門店の売場
,,,,,,,,,,,,,,スーパーマーケットの売場
,,,,,,,,,,,,,,荷さばき場
,,,,,,,,,,,,,,事務室
,,,,,,,,,,,,,,更衣室又は倉庫
,,,,,,,,,,,,,,ロビー
,,,,,,,,,,,,,,便所
,,,,,,,,,,,,,,喫煙室
,,,,,,,,,,,,,,厨房
,,,,,,,,,,,,,,屋内駐車場
,,,,,,,,,,,,,,機械室
,,,,,,,,,,,,,,電気室
,,,,,,,,,,,,,,湯沸室等
,,,,,,,,,,,,,,食品庫等
,,,,,,,,,,,,,,印刷室等
,,,,,,,,,,,,,,廃棄物保管場所等
,,,,,,,,,,,,,,非主要室
,,,,,,,,,,,,,,小中学校の教室
,,,,,,,,,,,,,,高等学校の教室
,,,,,,,,,,,,,,職員室
,,,,,,,,,,,,,,小中学校又は高等学校の食堂
,,,,,,,,,,,,,,大学の教室
,,,,,,,,,,,,,,大学の食堂
,,,,,,,,,,,,,,事務室
,,,,,,,,,,,,,,研究室
,,,,,,,,,,,,,,電子計算機器演習室
,,,,,,,,,,,,,,実験室
,,,,,,,,,,,,,,実習室
