様式 2-2. (空調)外壁構成 Rev.2,,,,,,,,,,,,1,鋼
0,1,2,3,4,5,6,7,8,,,,2,アルミニウム
①,②,③,④,⑤,⑥,⑦,⑧,⑨,,,,3,銅
,,,,,,,,,,,,4,ステンレス鋼
外壁名称,壁の種類,熱貫流率,建材番号,建材名称,熱伝導率,厚み,日射吸収率,備考,,,,21,岩石
,,,,,,,,,,,,22,土壌
,,,,,,,,,,,,41,コンクリート
,,[W/㎡K],,,[W/mK],[mm],[-],,,,,42,軽量コンクリート(軽量1種)
,(選択),,(選択),(選択),,,,,,,,43,軽量コンクリート(軽量2種)
,,,,,,,,,,,,44,軽量気泡コンクリートパネル(ALCパネル)
R1,外壁,,,室内側,,,,,,1,R1,45,コンクリートブロック(重量)
,,,70,ロックウール化粧吸音板,,12,,,,,W1,46,コンクリートブロック(軽量)
,,,62,せっこうボード,,10,,,,,FG1,47,セメント・モルタル
,,,302,非密閉中空層,,0.0,,,,,,48,押出成型セメント板
,,,41,コンクリート,,150,,,,,,61,せっこうプラスター
,,,47,セメント・モルタル,,15,,,,,,62,せっこうボード
,,,103,アスファルト類,,5,,,,,,63,硬質せっこうボード
,,,47,セメント・モルタル,,15,,,,,,64,しっくい
,,,181,押出法ポリスチレンフォーム　保温板　1種,,50,,,,,,65,土壁
,,,41,コンクリート,,60,,,,,,66,ガラス
,,,,室外側,,,,,,,,67,タイル
W1,外壁,,,室内側,,,,,,2,,68,れんが
,,,62,せっこうボード,,8,,,,,,69,かわら
,,,302,非密閉中空層,,0.0,,,,,,70,ロックウール化粧吸音板
,,,181,押出法ポリスチレンフォーム　保温板　1種,,25,,,,,,71,火山性ガラス質複合板
,,,41,コンクリート,,150,,,,,,72,0.8けい酸カルシウム板
,,,47,セメント・モルタル,,25,,,,,,73,1.0けい酸カルシウム板
,,,67,タイル,,10,,,,,,81,天然木材
,,,,,,,,,,,,82,合板
,,,,,,,,,,,,83,タタミボード
,,,,,,,,,,,,84,シージングボード
,,,,室外側,,,,,,,,85,Ａ級インシュレーションボード
FG1,接地壁,,,室内側,,,,,,3,,86,パーティクルボード
,,,101,ビニル系床材  ,,3,,,,,,87,木毛セメント板
,,,47,セメント・モルタル,,27,,,,,,88,木片セメント板
,,,41,コンクリート,,150,,,,,,89,ハードファイバーボード(ハードボード)
,,,22,土壌,,0.0,,,,,,90,ミディアムデンシティファイバーボード(MDF)
,,,,,,,,,,,,101,ビニル系床材
,,,,,,,,,,,,102,FRP
,,,,,,,,,,,,103,アスファルト類
,,,,,,,,,,,,104,畳床
,,,,,,,,,,,,105,建材畳床(Ⅲ型50mm厚)
,,,,室外側,,,,,,,,106,"建材畳床(K,N型50mm厚)"
,,,,室内側,,,,,,,,107,カーペット類
,,,,,,,,,,,,121,グラスウール断熱材　10K相当
,,,,,,,,,,,,122,グラスウール断熱材　16K相当
,,,,,,,,,,,,123,グラスウール断熱材　20K相当
,,,,,,,,,,,,124,グラスウール断熱材　24K相当
,,,,,,,,,,,,125,グラスウール断熱材　32K相当
,,,,,,,,,,,,126,高性能グラスウール断熱材　16K相当
,,,,,,,,,,,,127,高性能グラスウール断熱材　24K相当
