様式 2-5. (空調)熱源,,,,,,,,,,,,,,,,,,,,,,,,,ウォータチリングユニット(空冷式)
,,,,,,,,,,,,,,,,,,,,,,,,,ウォータチリングユニット(空冷式モジュール形)
①,②,③,蓄熱システム,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰,,ウォータチリングユニット(水冷式)
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,,,ウォータチリングユニット(水冷式地中熱タイプ1)
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,,,ウォータチリングユニット(水冷式地中熱タイプ2)
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格加熱能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考,,ウォータチリングユニット(水冷式地中熱タイプ3)
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号,,ウォータチリングユニット(水冷式地中熱タイプ4)
,,,,[MJ],,,[台],[℃],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[kW/台],[kW/台],[kW/台],系統名等）,,ウォータチリングユニット(水冷式地中熱タイプ5)
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,,,ウォータチリングユニット(水冷式地中熱タイプA)
,,,,,,,,,,,,,,,,,,,,,,,,,ウォータチリングユニット(水冷式地中熱タイプB)
AR1,無,有,無,,吸収式冷凍機(一重二重併用形、都市ガス),1番目,1,7,703,639,6.6,7.5,1233,7.4,15,1番目,1,55,588,701,5.4,7.5,,,ウォータチリングユニット(水冷式地中熱タイプC)
,,,,,吸収式冷凍機(一重二重併用形、都市ガス),2番目,1,7,703,639,6.6,7.5,1233,7.4,15,2番目,1,55,588,701,5.4,7.5,,,ウォータチリングユニット(水冷式地中熱タイプD)
EHP1-1O,無,無,無,,パッケージエアコンディショナ(空冷式),1番目,1,,5.6,1.37,,,,,,1番目,1,,6.3,1.34,,,,,ウォータチリングユニット(水冷式地中熱タイプE)
EHP1-2O,無,無,無,,パッケージエアコンディショナ(空冷式),1番目,1,,3.6,0.81,,,,,,1番目,1,,4,0.81,,,,,ウォータチリングユニット(水冷式地中熱タイプF)
EHP1-3O,無,無,無,,パッケージエアコンディショナ(空冷式),1番目,1,,3.6,0.81,,,,,,1番目,1,,4,0.81,,,,,スクリュー冷凍機
