様式 4. (照明)照明,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
①,①,①,,①,①,①,室指数,,,照明器具仕様,,,制御等の有無,,,,⑫
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,
階,室名,室用途,,室面積,階高,天井高,室の間口,室の奥行,室指数,機器名称,定格消費電力,台数,在室検知制御,明るさ検知制御,タイムスケジュール制御,初期照度補正機能,備考
,,,,,,,,,,,,,,,,,
,,大分類,小分類,[㎡],[m],[m],[m],[m],[-],（照明器具表の記号等）,[W/台],[台],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,,,,,,,
1F,風除け室,事務所等,廊下,21.12,5,2.6,,,,ダウンライト,19.2,6,,,,,
1F,ロビー,事務所等,ロビー,114.12,5,3.5,,,,ダウンライト,19.2,20,,,,,
1F,EVホール,事務所等,廊下,16.32,5,3.5,,,,ダウンライト,19.2,6,,,,,
1F,中央監視室・警備室,事務所等,中央監視室,39,5,2.6,,,,天井埋込下面ルーバー,88,6,,,,,
1F,更衣室1,事務所等,更衣室又は倉庫,14.63,5,2.4,,,,天井埋込下面開放,45,2,,,,,
1F,更衣室2,事務所等,更衣室又は倉庫,14.63,5,2.4,,,,天井埋込下面開放,45,2,,,,,
1F,休憩室,事務所等,更衣室又は倉庫,29.25,5,2.4,,,,天井埋込下面開放,87,2,,,,,
1F,自販機コーナー,事務所等,廊下,25.87,5,2.6,,,,ダウンライト,12.5,6,,,,,
1F,便所1,事務所等,便所,33.28,5,2.4,,,,ダウンライト,7.4,12,,,,,
,,,,,,,,,,天上直付笠なし,45,2,,,,,
1F,便所2,事務所等,便所,33.77,5,2.4,,,,ダウンライト,7.4,12,,,,,
,,,,,,,,,,天上直付笠なし,45,2,,,,,
1F,DS・PS1,事務所等,機械室,5.76,5,5,,,,天上直付笠なし,45,2,,,,,
1F,DS・PS2,事務所等,機械室,14.4,5,5,,,,天上直付笠なし,45,1,,,,,
1F,ES1,事務所等,機械室,8.64,5,5,,,,天上直付笠なし,45,1,,,,,
1F,ES2,事務所等,機械室,9.6,5,5,,,,天上直付笠なし,45,1,,,,,
1F,物入,事務所等,更衣室又は倉庫,7.59,5,5,,,,天上直付笠なし,45,2,,,,,
1F,給湯室,事務所等,湯沸室等,5.28,5,2.4,,,,天上直付笠なし,45,1,,,,,
1F,機械室1,事務所等,機械室,164.31,5,5,,,,天上直付反射笠付,88,10,,,,,
1F,機械室2,事務所等,機械室,45.5,5,5,,,,天上直付反射笠付,88,4,,,,,
1F,電気室,事務所等,電気室,50,5,5,,,,天上直付反射笠付,45,6,,,,,
1F,事務室1,事務所等,事務室,352.5,5,2.6,,,,天井埋込下面ルーバー,88,55,,,,,
1F,事務室2,事務所等,事務室,252,5,2.6,,,,天井埋込下面ルーバー,88,40,,,,,
1F,ローカ,事務所等,廊下,149.25,5,2.4,,,,ダウンライト,12.5,22,,,,,
1F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,,天上直付笠なし,45,1,,,,,
1F,階段室,事務所等,廊下,12.5,5,2.4,,,,天上直付笠なし,45,2,,,,,
2F,EVホール,事務所等,廊下,16.32,5,2.6,,,,ダウンライト,19.2,6,,,,,
