RegionList,AnnualSolarLevelList,CalculationTargetRoomList,,BuildingTypeList,ModelBuildingList,WallTypeList,MaterialNumberList,MaterialNameList,JoineryList,WindowHeatTransferPerformanceList,DirectionList,BooleanList,HeatSourceStorageModeList,TypeList,OrderCoolingHeatingList,FlowControlList,AhuTypeList,AhuFlowControlList,VentilationUnitTypeList,VentilationControlFlag3List,VentilationAcRoomTypeList,OccupantSensingList,IlluminanceSensingList,TimeScheduleList,InitialIlluminationCorrectionList,WaterSavingList,HotwaterFuelTypeList,InsulataionList,ElevatorControlTypeList,GeneraionTypeList,InstallationModeList,ModelBuildingDirectionList,RoomTypeList,HeatExchangerList,TotalHeatExchangerMethodList
1,A1,,,事務所等,事務所モデル,外壁,1,鋼,樹脂製(単板ガラス),3WgG06,北,有,無,ウォータチリングユニット(空冷式),1番目,定流量制御,空調機,定風量制御,給気,CO濃度制御,エレベータ機械室,無,無,無,無,無,電力,裸管,VVVF(電力回生あり、ギアレス),結晶系,架台設置形,北,事務室,全熱交換器無し,静止形
2,A2,■,,ホテル等,ビジネスホテルモデル,接地壁,2,アルミニウム,樹脂製(複層ガラス),3WgG07,北東,無,追掛,ウォータチリングユニット(空冷式モジュール形),2番目,回転数制御,FCU,回転数制御,排気,温度制御,電気室,下限調光方式,調光方式,減光方式,タイマ方式(LED),自動給湯栓,都市ガス,保温仕様A,VVVF(電力回生あり),結晶系以外,屋根置き形,東,電子計算機器事務室,全熱交換器あり・様式2-9記載あり,回転形
3,A3,,,病院等,シティホテルモデル,,3,銅,木製(単板ガラス),3WgG08,東,,氷蓄熱,ウォータチリングユニット(水冷式),3番目,,室内機,,循環,無,機械室,点滅方式,調光方式BL,点滅方式,タイマ方式(蛍光灯),節湯B1,液化石油ガス,保温仕様B,VVVF(電力回生なし、ギアレス),,その他,南,会議室,全熱交換器あり・様式2-9記載無し,
4,A4,,,百貨店等,総合病院モデル,,4,ステンレス鋼,木製(複層ガラス),3WgG09,南東,,水蓄熱(成層型),ウォータチリングユニット(水冷式地中熱タイプ1),4番目,,全熱交ユニット,,空調,,その他,減光方式,調光方式W15,,センサ方式(LED),,重油,保温仕様C,VVVF(電力回生なし),,,西,喫茶室,,
5,A5,,,学校等,クリニックモデル,,21,岩石,金属樹脂複合製(単板ガラス),3WgG10,南,,水蓄熱(混合型),ウォータチリングユニット(水冷式地中熱タイプ2),5番目,,送風機,,,,,,調光方式W15BL,,センサ方式(蛍光灯),,灯油,保温仕様D,交流帰還制御,,,なし,社員食堂,,
6,,,,飲食店等,福祉施設モデル,,22,土壌,金属樹脂複合製(複層ガラス),3WgG11,南西,,,ウォータチリングユニット(水冷式地中熱タイプ3),6番目,,放熱器,,,,,,調光方式W20,,,,他人から供給された熱(温水),保温仕様1,,,,,中央監視室,,
7,,,,集会所等,大規模物販モデル,,41,コンクリート,金属木複合製(単板ガラス),3WgG12,西,,,ウォータチリングユニット(水冷式地中熱タイプ4),7番目,,天井放射冷暖房パネル,,,,,,調光方式W20BL,,,,他人から供給された熱(蒸気),保温仕様2,,,,,更衣室又は倉庫,,
8,,,,工場等,小規模物販モデル,,42,軽量コンクリート(軽量1種),金属木複合製(複層ガラス),3WgG13,北西,,,ウォータチリングユニット(水冷式地中熱タイプ5),8番目,,,,,,,,調光方式W25,,,,,保温仕様3,,,,,廊下,,
,,,,共同住宅,学校モデル,,43,軽量コンクリート(軽量2種),金属製(単板ガラス),3WgG14,水平,,,ウォータチリングユニット(水冷式地中熱タイプA),9番目,,,,,,,,調光方式W25BL,,,,,,,,,,ロビー,,
,,,,既存部分,幼稚園モデル,,44,軽量気泡コンクリートパネル(ALCパネル),金属製(複層ガラス),3WgG15,日陰,,,ウォータチリングユニット(水冷式地中熱タイプB),10番目,,,,,,,,点滅方式,,,,,,,,,,便所,,
,,,,,大学モデル,,45,コンクリートブロック(重量),,3WgG16,,,,ウォータチリングユニット(水冷式地中熱タイプC),,,,,,,,,,,,,,,,,,,喫煙室,,
,,,,,講堂モデル,,46,コンクリートブロック(軽量),,3WsG06,,,,ウォータチリングユニット(水冷式地中熱タイプD),,,,,,,,,,,,,,,,,,,厨房,,
,,,,,飲食店モデル,,47,セメント・モルタル,,3WsG07,,,,ウォータチリングユニット(水冷式地中熱タイプE),,,,,,,,,,,,,,,,,,,屋内駐車場,,
,,,,,集会所モデル（アスレチック場）,,48,押出成型セメント板,,3WsG08,,,,ウォータチリングユニット(水冷式地中熱タイプF),,,,,,,,,,,,,,,,,,,機械室,,
,,,,,集会所モデル（体育館）,,61,せっこうプラスター,,3WsG09,,,,スクリュー冷凍機,,,,,,,,,,,,,,,,,,,電気室,,
,,,,,集会所モデル（公衆浴場）,,62,せっこうボード,,3WsG10,,,,ターボ冷凍機,,,,,,,,,,,,,,,,,,,湯沸室等,,
,,,,,集会所モデル（映画館）,,63,硬質せっこうボード,,3WsG11,,,,インバータターボ冷凍機,,,,,,,,,,,,,,,,,,,食品庫等,,
,,,,,集会所モデル（図書館）,,64,しっくい,,3WsG12,,,,ブラインターボ冷凍機(蓄熱時),,,,,,,,,,,,,,,,,,,印刷室等,,
,,,,,集会所モデル（博物館）,,65,土壁,,3WsG13,,,,ブラインターボ冷凍機(追掛時),,,,,,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,集会所モデル（劇場）,,66,ガラス,,3WsG14,,,,ウォータチリングユニット(空冷式氷蓄熱用),,,,,,,,,,,,,,,,,,,非主要室,,
,,,,,集会所モデル（カラオケボックス）,,67,タイル,,3WsG15,,,,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),,,,,,,,,,,,,,,,,,,客室,,
,,,,,集会所モデル（ボーリング場）,,68,れんが,,3WsG16,,,,スクリュー冷凍機(氷蓄熱用),,,,,,,,,,,,,,,,,,,客室内の浴室等,,
,,,,,集会所モデル（ぱちんこ屋）,,69,かわら,,3WgA06,,,,吸収式冷凍機(都市ガス),,,,,,,,,,,,,,,,,,,終日利用されるフロント,,
,,,,,集会所モデル（競馬場又は競輪場）,,70,ロックウール化粧吸音板,,3WgA07,,,,吸収式冷凍機(冷却水変流量、都市ガス),,,,,,,,,,,,,,,,,,,終日利用される事務室,,
,,,,,集会所モデル（社寺）,,71,火山性ガラス質複合板,,3WgA08,,,,吸収式冷凍機(LPG),,,,,,,,,,,,,,,,,,,終日利用される廊下,,
,,,,,工場モデル,,72,0.8けい酸カルシウム板,,3WgA09,,,,吸収式冷凍機(冷却水変流量、LPG),,,,,,,,,,,,,,,,,,,終日利用されるロビー,,
,,,,,,,73,1.0けい酸カルシウム板,,3WgA10,,,,吸収式冷凍機(重油),,,,,,,,,,,,,,,,,,,終日利用される共用部の便所,,
,,,,,,,81,天然木材,,3WgA11,,,,吸収式冷凍機(冷却水変流量、重油),,,,,,,,,,,,,,,,,,,終日利用される喫煙室,,
,,,,,,,82,合板,,3WgA12,,,,吸収式冷凍機(灯油),,,,,,,,,,,,,,,,,,,宴会場,,
,,,,,,,83,タタミボード,,3WgA13,,,,吸収式冷凍機(冷却水変流量、灯油),,,,,,,,,,,,,,,,,,,会議室,,
,,,,,,,84,シージングボード,,3WgA14,,,,吸収式冷凍機(蒸気),,,,,,,,,,,,,,,,,,,結婚式場,,
,,,,,,,85,Ａ級インシュレーションボード,,3WgA15,,,,吸収式冷凍機(冷却水変流量、蒸気),,,,,,,,,,,,,,,,,,,レストラン,,
,,,,,,,86,パーティクルボード,,3WgA16,,,,吸収式冷凍機(温水),,,,,,,,,,,,,,,,,,,ラウンジ,,
,,,,,,,87,木毛セメント板,,3WsA06,,,,吸収式冷凍機(一重二重併用形、都市ガス),,,,,,,,,,,,,,,,,,,バー,,
,,,,,,,88,木片セメント板,,3WsA07,,,,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),,,,,,,,,,,,,,,,,,,店舗,,
,,,,,,,89,ハードファイバーボード(ハードボード),,3WsA08,,,,吸収式冷凍機(一重二重併用形、LPG),,,,,,,,,,,,,,,,,,,社員食堂,,
,,,,,,,90,ミディアムデンシティファイバーボード(MDF),,3WsA09,,,,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),,,,,,,,,,,,,,,,,,,更衣室又は倉庫,,
,,,,,,,101,ビニル系床材,,3WsA10,,,,吸収式冷凍機(一重二重併用形、蒸気),,,,,,,,,,,,,,,,,,,日中のみ利用されるフロント,,
,,,,,,,102,FRP,,3WsA11,,,,吸収式冷凍機(一重二重併用形、冷却水変流量、蒸気),,,,,,,,,,,,,,,,,,,日中のみ利用される事務室,,
,,,,,,,103,アスファルト類,,3WsA12,,,,小型貫流ボイラ(都市ガス),,,,,,,,,,,,,,,,,,,日中のみ利用される廊下,,
,,,,,,,104,畳床,,3WsA13,,,,小型貫流ボイラ(LPG),,,,,,,,,,,,,,,,,,,日中のみ利用されるロビー,,
,,,,,,,105,建材畳床(Ⅲ型50mm厚),,3WsA14,,,,小型貫流ボイラ(重油),,,,,,,,,,,,,,,,,,,日中のみ利用される共用部の便所,,
,,,,,,,106,"建材畳床(K,N型50mm厚)",,3WsA15,,,,小型貫流ボイラ(灯油),,,,,,,,,,,,,,,,,,,日中のみ利用される喫煙室,,
,,,,,,,107,カーペット類,,3WsA16,,,,貫流ボイラ(都市ガス),,,,,,,,,,,,,,,,,,,厨房,,
,,,,,,,121,グラスウール断熱材　10K相当,,3LgG06,,,,貫流ボイラ(LPG),,,,,,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,122,グラスウール断熱材　16K相当,,3LgG07,,,,貫流ボイラ(重油),,,,,,,,,,,,,,,,,,,機械室,,
,,,,,,,123,グラスウール断熱材　20K相当,,3LgG08,,,,貫流ボイラ(灯油),,,,,,,,,,,,,,,,,,,電気室,,
,,,,,,,124,グラスウール断熱材　24K相当,,3LgG09,,,,温水ボイラ(都市ガス),,,,,,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,125,グラスウール断熱材　32K相当,,3LgG10,,,,温水ボイラ(LPG),,,,,,,,,,,,,,,,,,,食品庫等,,
